https://rogrundk.appraise.cf/campaign-status/240315rc5ESA/

|       username|active|annotations|      first_modified|       last_modified|annotation_time|   quality|
|       himatsus|     1|          0|               Never|               Never|            n/a|       n/a|
|     engdeu6921|     1|         51| 2024-03-21 01:25:53| 2024-03-21 17:51:24|         00h05m|  0.117782|
|     engdeu6901|     1|         58| 2024-03-19 05:33:17| 2024-03-19 19:01:46|         00h22m|  0.003868|
|     engdeu691f|     1|         62| 2024-03-21 00:00:21| 2024-03-21 01:18:22|         00h10m|  0.000811|
|     engdeu6905|     1|         62| 2024-03-24 20:56:03| 2024-03-24 21:55:47|         00h20m|  0.000035|
|     engdeu6916|     1|         64| 2024-03-20 20:10:44| 2024-03-20 21:28:40|         00h05m|  0.000136|
|     engdeu6903|     1|         64| 2024-03-19 21:00:36| 2024-03-19 22:04:51|         00h18m|  0.001607|
|     engdeu691c|     1|         65| 2024-03-22 19:15:47| 2024-03-23 13:28:12|         00h39m|  0.000018|
|     engdeu691a|     1|         65| 2024-03-22 11:10:33| 2024-03-22 12:04:08|         00h11m|  0.000154|
|     engdeu6915|     1|         65| 2024-03-20 17:16:59| 2024-03-20 20:04:59|         00h04m|  0.000237|
|     engdeu6902|     1|         65| 2024-03-19 19:05:10| 2024-03-19 20:54:13|         00h15m|  0.000077|
|     engdeu6913|     1|         66| 2024-03-21 10:56:01| 2024-03-21 12:31:32|         00h05m|  0.000018|
|     engdeu6908|     1|         66| 2024-03-21 18:46:02| 2024-03-21 19:40:58|         00h03m|  0.000078|
|     engdeu691b|     1|         67| 2024-03-20 15:31:54| 2024-03-21 13:16:12|         01h17m|  0.000799|
|     engdeu6910|     1|         67| 2024-03-20 10:05:37| 2024-03-20 15:41:18|         00h17m|  0.000119|
|     engdeu6918|     1|         68| 2024-03-21 13:29:47| 2024-03-21 15:41:27|         01h11m|  0.000027|
|     engdeu6907|     1|         68| 2024-03-22 22:51:05| 2024-03-23 20:49:40|         00h07m|  0.200739|
|     engdeu6904|     1|         69| 2024-03-22 20:20:00| 2024-03-24 13:07:24|         00h24m|  0.000259|
|     engdeu6917|     1|         70| 2024-03-21 20:19:01| 2024-03-21 22:21:58|         00h38m|  0.002120|
|     engdeu690b|     1|         70| 2024-03-19 16:12:53| 2024-03-19 19:04:13|         00h11m|  0.002776|
