"Timestamp","Which language pair did you evaluate?","What is your experience in assessing machine translation outputs?","Which device did you use for annotations?","Please specify how much you agree or disagree with the following statements.  [Generally my experience was positive]","Please specify how much you agree or disagree with the following statements.  [Instructions were clear]","Please specify how much you agree or disagree with the following statements.  [Description of severity levels was clear]","Please specify how much you agree or disagree with the following statements.  [Description of quality levels was clear]","Please specify how much you agree or disagree with the following statements.  [Tutorial was helpful]","Please specify how much you agree or disagree with the following statements.  [Three severity levels were sufficient]","Please specify how much you agree or disagree with the following statements.  [Quality levels 0-10 were helpful to me]","Please specify how much you agree or disagree with the following statements.  [Automatic quality score was mostly accurate]","Please specify how much you agree or disagree with the following statements.  [It was clear how to mark missing translation fragments]","Please specify how much you agree or disagree with the following statements.  [I would like to be able to provide detailed comments per segment]","Please specify how much you agree or disagree with the following statements.  [Segments (rows) were too long]","Please specify how much you agree or disagree with the following statements.  [Document fragments (screens) were too long]","Please specify how much you agree or disagree with the following statements.  [I experienced technical issues]","Please provide more details related to the statements above that you think can be useful to us. What was most troublesome? What could we improve? What would you suggest rethinking in the evaluation method or the tool? ","What were the main or most common issues in the translated texts affecting translation quality? ","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [difficult/easy]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [stressful/relaxed]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [laborous/effortless]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [slow/fast]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [inefficient/efficient]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [complicated/simple]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [annoying/enjoyable]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [limiting/creative]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [impractical/practical]","This evaluation campaign featured the Error Span Annotation evaluation method with Scalar Quality Metrics. What do you think about this method? It was...  [unclear/clear]","Did you encounter any technical issues or do you have any suggestions how to improve the User Interface for this task? Any feedback and ideas are welcome."
"2024/03/19 10:56:47 am EET","EN>DE","High: I evaluate machine translation regularly","PC or laptop","Disagree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Although technically all conditions were met, page would not validate and let me go through. Had to refresh and re-click all several times to make it go through","","-2 (negative)","-2 (negative)","-2 (negative)","-2 (negative)","0","-1","-2 (negative)","0","0","-1","The page formatting is problematic. Font size differences between source and destination are tiring. Also there's a need for a tool to help auto-highlight the corresponding counter-part (phrase / word / sentence?)in the other text when hovering over the counterpart. Otherwise you lose time re-reading entire paragraphs up and down to identify the wrong or missing words"
"2024/03/19 10:46:54 pm EET","German - English","High: I evaluate machine translation regularly","PC or laptop","Agree","Agree","Agree","Agree","Neutral","Strongly agree","Agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","N/A","Too long","+1","0","0","-1","0","+1","0","0","0","0","N/A"
"2024/03/20 12:13:18 am EET","English -> German","High: I evaluate machine translation regularly","PC or laptop","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Strongly disagree","Strongly disagree","Disagree","Disagree","Strongly agree","Agree","Agree","segments/texts much too long, need to be broken down to much smaller chunks; too many options for labelling (e.g. difference of when to use unintelligible vs. mistranslation not clear)","translation too literal or awkward","-1","-1","-1","-2 (negative)","0","-2 (negative)","-1","0","0","-1","highlighting text segments could be made easier; built-in timer doesn't work properly"
"2024/03/20 12:16:24 am EET","English to German","High: I evaluate machine translation regularly","PC or laptop","Agree","Strongly agree","Agree","Agree","Agree","Disagree","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","In my point of vie It would be more helpful to be able to comment on the segments. I prefer to tell i.e. ""first sentence is missing/not translated"". The hovering with mouse (pink an purple) was kind of complicated and time consuming. ","Syntax, Grammar, right word but wrong context","-1","-1","-1","-1","0","-1","0","0","-1","0","After submitting and receiving the confirmation token, the displayed work time was wrong."
"2024/03/20 1:43:55 am EET","English - German","High: I evaluate machine translation regularly","PC or laptop","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Neutral","more exercises at the beginning","sometimes the translation becomes to complex with 20 lines to read","-1","-1","-2 (negative)","-2 (negative)","-1","0","0","0","0","0","The UI should become more userfriendly when you try to mark some words or whole sentenses"
"2024/03/20 5:14:56 am EET","German","High: I evaluate machine translation regularly","PC or laptop","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Text segments way too long","Irrelevent text inserts","+1","+1","+1","+1","+2 (positive)","+1","+1","+1","+1","+1","No"
"2024/03/20 9:40:13 am EET","English - German","Moderate: I have done it few times","Tablet","Agree","Agree","Neutral","Agree","Agree","Strongly agree","Strongly agree","Neutral","Agree","Strongly disagree","Strongly agree","Neutral","Strongly disagree","","","+1","+2 (positive)","+1","-1","+2 (positive)","+1","+1","0","0","+1",""
"2024/03/20 11:23:36 am EET","Engish-German","High: I evaluate machine translation regularly","PC or laptop","Disagree","Neutral","Agree","Agree","Neutral","Agree","Strongly agree","Neutral","Disagree","Neutral","Strongly agree","Strongly agree","Strongly disagree","The segments should be shorter.","Missing texts.","0","0","0","0","0","-1","-1","0","-1","-1","No, it was ok."
"2024/03/20 4:50:43 pm EET","English-German","Moderate: I have done it few times","PC or laptop","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Neutral","Strongly agree","Neutral","Neutral","Neutral","Strongly disagree","","","+2 (positive)","+2 (positive)","+2 (positive)","0","+2 (positive)","+1","+1","+1","+1","+2 (positive)",""
"2024/03/21 12:31:26 am EET","English to German","High: I evaluate machine translation regularly","PC or laptop","Agree","Agree","Neutral","Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Agree","Disagree","Disagree","Segments were sometimes just too long and one gets lost somewhere around the middle. It would be nice if they could be at most 5 sentences long.","Additional or missing parts of the text, awkward expressions in German, sometimes literally translated from English.","+1","0","-1","-1","+1","+1","0","+1","0","+2 (positive)","No. All was clear and easy to understand."
